"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","(default)","src/AdminView.java","4","1","Avoid unused imports such as 'java.awt.BorderLayout'","Type Resolution Rules","UnusedImports"
"2","(default)","src/AdminView.java","4","1","Avoid unused imports such as 'java.awt.BorderLayout'","Type Resolution Rules","UnusedImports"
"3","(default)","src/AdminView.java","4","7","Avoid unused imports such as 'java.awt.GridLayout'","Type Resolution Rules","UnusedImports"
"4","(default)","src/AdminView.java","4","7","Avoid unused imports such as 'java.awt.GridLayout'","Type Resolution Rules","UnusedImports"
"5","(default)","src/AdminView.java","4","20","Avoid duplicate imports such as 'java.sql.Connection'","Import Statement Rules","DuplicateImports"
"6","(default)","src/AdminView.java","4","21","Avoid duplicate imports such as 'java.sql.ResultSet'","Import Statement Rules","DuplicateImports"
"7","(default)","src/AdminView.java","4","22","Avoid duplicate imports such as 'java.sql.SQLException'","Import Statement Rules","DuplicateImports"
"8","(default)","src/AdminView.java","4","23","Avoid duplicate imports such as 'javax.swing.DefaultListModel'","Import Statement Rules","DuplicateImports"
"9","(default)","src/AdminView.java","3","28","All classes and interfaces must belong to a named package","Naming Rules","NoPackage"
"10","(default)","src/AdminView.java","3","30","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"11","(default)","src/AdminView.java","3","30","Perhaps 'contentPane' could be replaced by a local variable.","Design Rules","SingularField"
"12","(default)","src/AdminView.java","3","30","Private field 'contentPane' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"13","(default)","src/AdminView.java","3","31","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"14","(default)","src/AdminView.java","3","31","Private field 'textField' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"15","(default)","src/AdminView.java","3","32","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"16","(default)","src/AdminView.java","3","32","Private field 'textField_1' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"17","(default)","src/AdminView.java","1","32","Variables that are not final should not contain underscores (except for underscores in standard prefix/suffix).","Naming Rules","VariableNamingConventions"
"18","(default)","src/AdminView.java","3","33","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"19","(default)","src/AdminView.java","3","33","Private field 'textField_2' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"20","(default)","src/AdminView.java","1","33","Variables that are not final should not contain underscores (except for underscores in standard prefix/suffix).","Naming Rules","VariableNamingConventions"
"21","(default)","src/AdminView.java","3","34","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"22","(default)","src/AdminView.java","3","34","Private field 'textField_3' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"23","(default)","src/AdminView.java","1","34","Variables that are not final should not contain underscores (except for underscores in standard prefix/suffix).","Naming Rules","VariableNamingConventions"
"24","(default)","src/AdminView.java","1","35","Variables that are not final should not contain underscores (except for underscores in standard prefix/suffix).","Naming Rules","VariableNamingConventions"
"25","(default)","src/AdminView.java","1","36","Variables that are not final should not contain underscores (except for underscores in standard prefix/suffix).","Naming Rules","VariableNamingConventions"
"26","(default)","src/AdminView.java","3","37","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"27","(default)","src/AdminView.java","3","38","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"28","(default)","src/AdminView.java","3","42","Parameter 'args' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"29","(default)","src/AdminView.java","3","43","To be compliant to J2EE, a webapp should not use any thread.","J2EE Rules","DoNotUseThreads"
"30","(default)","src/AdminView.java","3","46","Local variable 'frame' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"31","(default)","src/AdminView.java","3","49","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"32","(default)","src/AdminView.java","3","58","It is a good practice to call super() in a constructor","Controversial Rules","CallSuperInConstructor"
"33","(default)","src/AdminView.java","3","68","Local variable 'label' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"34","(default)","src/AdminView.java","3","76","Local variable 'query' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"35","(default)","src/AdminView.java","3","77","Local variable 'con' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"36","(default)","src/AdminView.java","3","78","Always check the return of one of the navigation method (next,previous,first,last) of a ResultSet.","Basic Rules","CheckResultSet"
"37","(default)","src/AdminView.java","3","78","Avoid variables with short names like rs","Naming Rules","ShortVariable"
"38","(default)","src/AdminView.java","3","78","Local variable 'rs' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"39","(default)","src/AdminView.java","3","89","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"40","(default)","src/AdminView.java","3","98","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"41","(default)","src/AdminView.java","3","99","Avoid variables with short names like i","Naming Rules","ShortVariable"
"42","(default)","src/AdminView.java","5","99","Found 'DD'-anomaly for variable 'i' (lines '99'-'100').","Controversial Rules","DataflowAnomalyAnalysis"
"43","(default)","src/AdminView.java","5","99","Found 'DD'-anomaly for variable 'i' (lines '99'-'100').","Controversial Rules","DataflowAnomalyAnalysis"
"44","(default)","src/AdminView.java","3","102","Ensure that resources like this Connection object are closed after use","Design Rules","CloseResource"
"45","(default)","src/AdminView.java","3","105","Avoid variables with short names like rs","Naming Rules","ShortVariable"
"46","(default)","src/AdminView.java","3","105","Ensure that resources like this ResultSet object are closed after use","Design Rules","CloseResource"
"47","(default)","src/AdminView.java","3","117","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"48","(default)","src/AdminView.java","3","165","Avoid variables with short names like e","Naming Rules","ShortVariable"
"49","(default)","src/AdminView.java","3","165","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"50","(default)","src/AdminView.java","5","166","Found 'DD'-anomaly for variable 'query' (lines '166'-'168').","Controversial Rules","DataflowAnomalyAnalysis"
"51","(default)","src/AdminView.java","5","166","Found 'DD'-anomaly for variable 'query' (lines '166'-'168').","Controversial Rules","DataflowAnomalyAnalysis"
"52","(default)","src/AdminView.java","3","168","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"53","(default)","src/AdminView.java","3","170","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"54","(default)","src/AdminView.java","3","172","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"55","(default)","src/AdminView.java","3","174","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"56","(default)","src/AdminView.java","3","176","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"57","(default)","src/AdminView.java","3","179","Ensure that resources like this Connection object are closed after use","Design Rules","CloseResource"
"58","(default)","src/AdminView.java","3","182","Avoid variables with short names like rs","Naming Rules","ShortVariable"
"59","(default)","src/AdminView.java","3","182","Ensure that resources like this ResultSet object are closed after use","Design Rules","CloseResource"
"60","(default)","src/AdminView.java","3","194","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"61","(default)","src/CashierView.java","4","1","Avoid unused imports such as 'java.awt.Color'","Type Resolution Rules","UnusedImports"
"62","(default)","src/CashierView.java","4","1","Avoid unused imports such as 'java.awt.Color'","Type Resolution Rules","UnusedImports"
"63","(default)","src/CashierView.java","4","21","Avoid unused imports such as 'javax.swing.JTable'","Type Resolution Rules","UnusedImports"
"64","(default)","src/CashierView.java","4","21","Avoid unused imports such as 'javax.swing.JTable'","Type Resolution Rules","UnusedImports"
"65","(default)","src/CashierView.java","3","26","All classes and interfaces must belong to a named package","Naming Rules","NoPackage"
"66","(default)","src/CashierView.java","3","26","The class 'CashierView' has a Cyclomatic Complexity of 9 (Highest = 14).","Code Size Rules","CyclomaticComplexity"
"67","(default)","src/CashierView.java","3","28","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"68","(default)","src/CashierView.java","3","28","Perhaps 'contentPane' could be replaced by a local variable.","Design Rules","SingularField"
"69","(default)","src/CashierView.java","3","28","Private field 'contentPane' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"70","(default)","src/CashierView.java","3","29","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"71","(default)","src/CashierView.java","3","29","Private field 'textField' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"72","(default)","src/CashierView.java","3","30","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"73","(default)","src/CashierView.java","3","35","Parameter 'args' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"74","(default)","src/CashierView.java","3","36","To be compliant to J2EE, a webapp should not use any thread.","J2EE Rules","DoNotUseThreads"
"75","(default)","src/CashierView.java","3","39","Local variable 'frame' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"76","(default)","src/CashierView.java","3","42","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"77","(default)","src/CashierView.java","3","51","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"78","(default)","src/CashierView.java","3","51","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"79","(default)","src/CashierView.java","3","52","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"80","(default)","src/CashierView.java","3","53","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"81","(default)","src/CashierView.java","3","53","Private field 'textField_cn' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"82","(default)","src/CashierView.java","1","53","Variables that are not final should not contain underscores (except for underscores in standard prefix/suffix).","Naming Rules","VariableNamingConventions"
"83","(default)","src/CashierView.java","3","54","Private field 'textField_rr' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"84","(default)","src/CashierView.java","1","54","Variables that are not final should not contain underscores (except for underscores in standard prefix/suffix).","Naming Rules","VariableNamingConventions"
"85","(default)","src/CashierView.java","3","55","Private field 'textField_fr' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"86","(default)","src/CashierView.java","1","55","Variables that are not final should not contain underscores (except for underscores in standard prefix/suffix).","Naming Rules","VariableNamingConventions"
"87","(default)","src/CashierView.java","1","56","Variables that are not final should not contain underscores (except for underscores in standard prefix/suffix).","Naming Rules","VariableNamingConventions"
"88","(default)","src/CashierView.java","3","57","It is a good practice to call super() in a constructor","Controversial Rules","CallSuperInConstructor"
"89","(default)","src/CashierView.java","3","57","The constructor 'CashierView' has a Cyclomatic Complexity of 14.","Code Size Rules","CyclomaticComplexity"
"90","(default)","src/CashierView.java","3","67","Local variable 'label' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"91","(default)","src/CashierView.java","3","79","Local variable 'query' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"92","(default)","src/CashierView.java","3","80","Local variable 'con' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"93","(default)","src/CashierView.java","3","81","Always check the return of one of the navigation method (next,previous,first,last) of a ResultSet.","Basic Rules","CheckResultSet"
"94","(default)","src/CashierView.java","3","81","Avoid variables with short names like rs","Naming Rules","ShortVariable"
"95","(default)","src/CashierView.java","3","81","Local variable 'rs' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"96","(default)","src/CashierView.java","3","92","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"97","(default)","src/CashierView.java","3","102","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"98","(default)","src/CashierView.java","3","103","Avoid variables with short names like i","Naming Rules","ShortVariable"
"99","(default)","src/CashierView.java","5","103","Found 'DD'-anomaly for variable 'i' (lines '103'-'104').","Controversial Rules","DataflowAnomalyAnalysis"
"100","(default)","src/CashierView.java","5","103","Found 'DD'-anomaly for variable 'i' (lines '103'-'104').","Controversial Rules","DataflowAnomalyAnalysis"
"101","(default)","src/CashierView.java","5","103","Found 'DD'-anomaly for variable 'i' (lines '103'-'104').","Controversial Rules","DataflowAnomalyAnalysis"
"102","(default)","src/CashierView.java","5","103","Found 'DD'-anomaly for variable 'i' (lines '103'-'104').","Controversial Rules","DataflowAnomalyAnalysis"
"103","(default)","src/CashierView.java","5","103","Found 'DD'-anomaly for variable 'i' (lines '103'-'104').","Controversial Rules","DataflowAnomalyAnalysis"
"104","(default)","src/CashierView.java","3","106","Ensure that resources like this Connection object are closed after use","Design Rules","CloseResource"
"105","(default)","src/CashierView.java","3","107","Avoid variables with short names like rs","Naming Rules","ShortVariable"
"106","(default)","src/CashierView.java","3","107","Ensure that resources like this ResultSet object are closed after use","Design Rules","CloseResource"
"107","(default)","src/CashierView.java","3","126","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"108","(default)","src/CashierView.java","3","136","Document empty method","Design Rules","UncommentedEmptyMethod"
"109","(default)","src/CashierView.java","3","136","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"110","(default)","src/CashierView.java","3","175","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"111","(default)","src/CashierView.java","3","176","Avoid variables with short names like i","Naming Rules","ShortVariable"
"112","(default)","src/CashierView.java","5","176","Found 'DD'-anomaly for variable 'i' (lines '176'-'177').","Controversial Rules","DataflowAnomalyAnalysis"
"113","(default)","src/CashierView.java","5","176","Found 'DD'-anomaly for variable 'i' (lines '176'-'177').","Controversial Rules","DataflowAnomalyAnalysis"
"114","(default)","src/CashierView.java","5","176","Found 'DD'-anomaly for variable 'i' (lines '176'-'177').","Controversial Rules","DataflowAnomalyAnalysis"
"115","(default)","src/CashierView.java","5","176","Found 'DD'-anomaly for variable 'i' (lines '176'-'177').","Controversial Rules","DataflowAnomalyAnalysis"
"116","(default)","src/CashierView.java","5","176","Found 'DD'-anomaly for variable 'i' (lines '176'-'177').","Controversial Rules","DataflowAnomalyAnalysis"
"117","(default)","src/CashierView.java","3","179","Ensure that resources like this Connection object are closed after use","Design Rules","CloseResource"
"118","(default)","src/CashierView.java","3","180","Avoid variables with short names like rs","Naming Rules","ShortVariable"
"119","(default)","src/CashierView.java","3","180","Ensure that resources like this ResultSet object are closed after use","Design Rules","CloseResource"
"120","(default)","src/CashierView.java","3","191","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"121","(default)","src/CashierView.java","3","215","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"122","(default)","src/CashierView.java","5","216","Found 'DD'-anomaly for variable 'i' (lines '216'-'217').","Controversial Rules","DataflowAnomalyAnalysis"
"123","(default)","src/CashierView.java","5","216","Found 'DD'-anomaly for variable 'i' (lines '216'-'217').","Controversial Rules","DataflowAnomalyAnalysis"
"124","(default)","src/CashierView.java","5","216","Found 'DD'-anomaly for variable 'i' (lines '216'-'217').","Controversial Rules","DataflowAnomalyAnalysis"
"125","(default)","src/CashierView.java","5","216","Found 'DD'-anomaly for variable 'i' (lines '216'-'217').","Controversial Rules","DataflowAnomalyAnalysis"
"126","(default)","src/CashierView.java","5","216","Found 'DD'-anomaly for variable 'i' (lines '216'-'217').","Controversial Rules","DataflowAnomalyAnalysis"
"127","(default)","src/CashierView.java","5","218","Found 'DD'-anomaly for variable 'query' (lines '218'-'223').","Controversial Rules","DataflowAnomalyAnalysis"
"128","(default)","src/CashierView.java","5","218","Found 'DD'-anomaly for variable 'query' (lines '218'-'223').","Controversial Rules","DataflowAnomalyAnalysis"
"129","(default)","src/CashierView.java","5","218","Found 'DD'-anomaly for variable 'query' (lines '218'-'223').","Controversial Rules","DataflowAnomalyAnalysis"
"130","(default)","src/CashierView.java","5","218","Found 'DD'-anomaly for variable 'query' (lines '218'-'223').","Controversial Rules","DataflowAnomalyAnalysis"
"131","(default)","src/CashierView.java","5","218","Found 'DD'-anomaly for variable 'query' (lines '218'-'223').","Controversial Rules","DataflowAnomalyAnalysis"
"132","(default)","src/CashierView.java","5","218","Found 'DD'-anomaly for variable 'query' (lines '218'-'228').","Controversial Rules","DataflowAnomalyAnalysis"
"133","(default)","src/CashierView.java","5","218","Found 'DD'-anomaly for variable 'query' (lines '218'-'228').","Controversial Rules","DataflowAnomalyAnalysis"
"134","(default)","src/CashierView.java","5","218","Found 'DD'-anomaly for variable 'query' (lines '218'-'228').","Controversial Rules","DataflowAnomalyAnalysis"
"135","(default)","src/CashierView.java","5","218","Found 'DD'-anomaly for variable 'query' (lines '218'-'228').","Controversial Rules","DataflowAnomalyAnalysis"
"136","(default)","src/CashierView.java","5","218","Found 'DD'-anomaly for variable 'query' (lines '218'-'228').","Controversial Rules","DataflowAnomalyAnalysis"
"137","(default)","src/CashierView.java","5","218","Found 'DD'-anomaly for variable 'query' (lines '218'-'233').","Controversial Rules","DataflowAnomalyAnalysis"
"138","(default)","src/CashierView.java","5","218","Found 'DD'-anomaly for variable 'query' (lines '218'-'233').","Controversial Rules","DataflowAnomalyAnalysis"
"139","(default)","src/CashierView.java","5","218","Found 'DD'-anomaly for variable 'query' (lines '218'-'233').","Controversial Rules","DataflowAnomalyAnalysis"
"140","(default)","src/CashierView.java","5","218","Found 'DD'-anomaly for variable 'query' (lines '218'-'233').","Controversial Rules","DataflowAnomalyAnalysis"
"141","(default)","src/CashierView.java","5","218","Found 'DD'-anomaly for variable 'query' (lines '218'-'233').","Controversial Rules","DataflowAnomalyAnalysis"
"142","(default)","src/CashierView.java","5","220","Found 'DD'-anomaly for variable 'fr' (lines '220'-'221').","Controversial Rules","DataflowAnomalyAnalysis"
"143","(default)","src/CashierView.java","5","220","Found 'DD'-anomaly for variable 'fr' (lines '220'-'221').","Controversial Rules","DataflowAnomalyAnalysis"
"144","(default)","src/CashierView.java","5","220","Found 'DD'-anomaly for variable 'fr' (lines '220'-'221').","Controversial Rules","DataflowAnomalyAnalysis"
"145","(default)","src/CashierView.java","5","220","Found 'DD'-anomaly for variable 'fr' (lines '220'-'221').","Controversial Rules","DataflowAnomalyAnalysis"
"146","(default)","src/CashierView.java","5","220","Found 'DD'-anomaly for variable 'fr' (lines '220'-'221').","Controversial Rules","DataflowAnomalyAnalysis"
"147","(default)","src/CashierView.java","5","225","Found 'DD'-anomaly for variable 'cn' (lines '225'-'226').","Controversial Rules","DataflowAnomalyAnalysis"
"148","(default)","src/CashierView.java","5","225","Found 'DD'-anomaly for variable 'cn' (lines '225'-'226').","Controversial Rules","DataflowAnomalyAnalysis"
"149","(default)","src/CashierView.java","5","225","Found 'DD'-anomaly for variable 'cn' (lines '225'-'226').","Controversial Rules","DataflowAnomalyAnalysis"
"150","(default)","src/CashierView.java","5","225","Found 'DD'-anomaly for variable 'cn' (lines '225'-'226').","Controversial Rules","DataflowAnomalyAnalysis"
"151","(default)","src/CashierView.java","5","225","Found 'DD'-anomaly for variable 'cn' (lines '225'-'226').","Controversial Rules","DataflowAnomalyAnalysis"
"152","(default)","src/CashierView.java","5","230","Found 'DD'-anomaly for variable 'rr' (lines '230'-'231').","Controversial Rules","DataflowAnomalyAnalysis"
"153","(default)","src/CashierView.java","5","230","Found 'DD'-anomaly for variable 'rr' (lines '230'-'231').","Controversial Rules","DataflowAnomalyAnalysis"
"154","(default)","src/CashierView.java","5","230","Found 'DD'-anomaly for variable 'rr' (lines '230'-'231').","Controversial Rules","DataflowAnomalyAnalysis"
"155","(default)","src/CashierView.java","5","230","Found 'DD'-anomaly for variable 'rr' (lines '230'-'231').","Controversial Rules","DataflowAnomalyAnalysis"
"156","(default)","src/CashierView.java","5","230","Found 'DD'-anomaly for variable 'rr' (lines '230'-'231').","Controversial Rules","DataflowAnomalyAnalysis"
"157","(default)","src/CashierView.java","3","236","Ensure that resources like this Connection object are closed after use","Design Rules","CloseResource"
"158","(default)","src/Handler.java","3","3","All classes and interfaces must belong to a named package","Naming Rules","NoPackage"
"159","(default)","src/Handler.java","3","3","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"160","(default)","src/Handler.java","3","8","Ensure that resources like this Connection object are closed after use","Design Rules","CloseResource"
"161","(default)","src/Handler.java","5","8","Found 'DD'-anomaly for variable 'connection' (lines '8'-'19').","Controversial Rules","DataflowAnomalyAnalysis"
"162","(default)","src/Handler.java","3","11","Local variable 'driverName' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"163","(default)","src/Handler.java","3","16","Local variable 'url' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"164","(default)","src/Handler.java","3","17","Local variable 'username' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"165","(default)","src/Handler.java","3","18","Local variable 'password' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"166","(default)","src/Handler.java","3","20","Avoid empty catch blocks","Basic Rules","EmptyCatchBlock"
"167","(default)","src/Handler.java","3","22","Avoid empty catch blocks","Basic Rules","EmptyCatchBlock"
"168","(default)","src/Handler.java","3","28","Parameter 'connection' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"169","(default)","src/Handler.java","3","28","Parameter 'query' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"170","(default)","src/Handler.java","3","33","Ensure that resources like this Statement object are closed after use","Design Rules","CloseResource"
"171","(default)","src/Handler.java","3","33","Local variable 'statement' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"172","(default)","src/Handler.java","3","35","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"173","(default)","src/Handler.java","3","38","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"174","(default)","src/Handler.java","3","45","Parameter 'connection' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"175","(default)","src/Handler.java","3","53","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"176","(default)","src/MainClass.java","3","2","All classes and interfaces must belong to a named package","Naming Rules","NoPackage"
"177","(default)","src/MainClass.java","3","2","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"178","(default)","src/MainClass.java","3","5","Parameter 'args' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"179","(default)","src/MainClass.java","3","7","Local variable 'cView' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
